EpisodeID,Result,Duration,AssistedHits,NonAssistedHits,AvgAccuracy,Score
1,PlayerGoal,1.504998,0,0,0,-7.524989
2,OpponentGoal,4.319994,0,0,0,978.4
3,PlayerGoal,12.92998,1,0,0.3110441,-43.5455
4,OpponentGoal,12.08998,5,0,0.2619282,915.7429
5,PlayerGoal,42.24494,6,0,0.3778478,-233.4399
6,OpponentGoal,4.544998,1,0,0.922094,1059.484
7,PlayerGoal,2.019997,0,0,0,-10.09998
8,OpponentGoal,5.579994,2,0,0.3235604,984.4561
9,PlayerGoal,3.98999,0,0,0,-19.94995
10,PlayerGoal,1.695,0,0,0,-8.474998
11,OpponentGoal,2.789993,1,0,0.3985828,1015.908
12,OpponentGoal,11.28499,4,0,0.5185283,955.4279
13,OpponentGoal,13.39998,3,0,0.2886456,931.8647
14,OpponentGoal,4.244995,2,0,0.4166426,1000.439
15,PlayerGoal,1.704994,0,0,0,-8.524971
16,OpponentGoal,2.259995,1,0,0.3344004,1012.14
17,PlayerGoal,6.654999,1,0,0.3491352,-8.361469
18,PlayerGoal,1.544998,0,0,0,-7.724991
19,OpponentGoal,30.59995,11,0,0.4559264,782.5929
20,OpponentGoal,16.98999,5,0,0.2584004,890.8901
21,OpponentGoal,22.37996,6,0,0.7790722,906.0074
22,OpponentGoal,2.054993,1,0,0.9013217,1069.857
23,PlayerGoal,6.73999,1,0,0.7306123,29.36128
24,OpponentGoal,2.615005,1,0,0.9569972,1072.625
25,PlayerGoal,7.679993,2,0,0.5708252,-1.317447
26,PlayerGoal,7.87999,2,0,0.8167427,22.27432
27,OpponentGoal,2.044998,1,0,0.940818,1073.857
28,OpponentGoal,2.039993,1,0,0.9404784,1073.848
29,OpponentGoal,17.93497,4,0,0.7395837,944.2835
30,PlayerGoal,21.08496,2,0,0.5077772,-74.64709
31,PlayerGoal,7.265015,1,0,0.2777898,-18.54609
32,PlayerGoal,1.779999,0,0,0,-8.899994
33,OpponentGoal,3.429993,1,0,0.952037,1068.054
34,PlayerGoal,1.629974,0,0,0,-8.149872
35,OpponentGoal,1.964996,1,0,0.3798785,1018.163
36,OpponentGoal,3.815002,2,0,0.5623979,1017.165
37,OpponentGoal,2.904999,1,0,0.9907832,1074.553
38,PlayerGoal,5.829987,5,0,0.6184778,-17.30216
39,OpponentGoal,2.290009,1,0,0.2693162,1005.482
40,PlayerGoal,2.549988,0,0,0,-12.74994
41,PlayerGoal,2.595001,0,0,0,-12.97501
42,PlayerGoal,1.834991,0,0,0,-9.174957
43,OpponentGoal,2.790009,2,0,0.9381292,1059.863
44,PlayerGoal,1.595001,0,0,0,-7.975006
45,Quit,3.30423,0,0,0,-16.52115
