EpisodeID,Timestamp,WasAssisted,Accuracy,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW,WorldVelX,WorldVelY,WorldVelZ,WorldAngVelX,WorldAngVelY,WorldAngVelZ
2,8.514988,1,0.4313242,1.80509,6.419581,-6.110063,0.3488703,-0.02147519,0.08226466,0.9333064,-0.1026242,0.03750762,1.004692,2.623025,0.173767,-1.308524
2,8.529988,1,0.9945338,1.786628,6.489663,-5.905776,0.3054302,-0.01693929,0.07253552,0.9492965,-0.1238286,0.1106681,1.249914,3.736398,-0.007103795,-0.4597825
2,10.06999,1,0.3939333,-1.687996,7.210042,-3.017092,0.1341582,-0.1719183,0.0004612729,0.9759331,-0.2778246,0.3152956,2.30349,2.040663,-6.470123,1.404212
2,10.08499,1,0.9820513,-1.588433,7.248496,-2.761886,0.1241685,-0.1037253,-0.008748088,0.9867861,-0.08588743,0.2980866,2.315745,1.987009,-7.367989,1.71945
2,11.78998,1,0.3103925,-0.0186445,6.70437,-2.871194,0.1783083,-0.03133544,-0.2089936,0.9610129,0.4235322,0.1755126,2.464021,5.293286,-6.106684,5.85685
2,12.44498,1,0.5633814,1.346825,6.339842,-4.165415,0.2994082,0.07376929,-0.01516417,0.9511482,-1.252607,0.03698587,-0.4415656,-0.6452857,4.776137,-1.638938
2,12.45998,1,0.9999233,1.145803,6.314331,-4.276912,0.3160689,0.04366829,-0.02759878,0.9473287,-1.348627,0.002976555,-0.601832,-1.275645,4.688504,-1.134864
3,16.21998,1,0.996677,-1.795532,6.307868,-5.465703,0.2967785,-0.2941095,0.0002136827,0.9085275,-0.1213786,-0.1314851,1.683657,2.487296,-6.256264,1.973074
3,16.23498,1,0.9909562,-1.706224,6.332527,-5.13437,0.2814403,-0.221803,-0.01926334,0.9333936,-0.002984554,-0.1063967,2.03972,2.942397,-7.183083,2.840304
4,19.23497,1,0.5654399,-1.749356,6.319593,-4.532149,0.2624388,-0.321076,0.01707576,0.9098046,-1.050652,0.2407688,0.1310134,-0.0101964,2.24147,-1.307937
5,21.91497,1,0.119368,-1.281772,6.298546,-4.519703,0.2293617,-0.1029095,-0.1323823,0.9587897,0.1732768,-0.2800849,2.384503,3.775791,-8.083839,4.042636
5,21.92997,1,0.9482598,-1.094535,6.306657,-4.247696,0.2098157,-0.02684525,-0.1521267,0.9654606,0.4563934,-0.2150186,2.47093,4.032027,-8.500766,4.248376
5,23.31997,1,0.1637551,-1.889647,6.361754,-4.153673,0.231751,-0.1652238,-0.1281285,0.9500397,-0.1122914,0.09012926,1.895323,3.51791,-4.926243,3.511034
5,23.84497,1,0.3224647,-0.01190269,5.941165,-4.728874,0.3482177,0.05887531,-0.07696004,0.9323922,1.341448,-0.05519188,0.6352993,0.2382537,-5.686794,3.031366
5,24.99996,1,0.5229083,-0.991967,6.205831,-4.569988,0.3096027,-0.2117841,-0.07782505,0.9237082,-0.5145897,0.2122231,1.217301,1.441069,0.4686821,0.6033837
5,27.03996,1,0.7374169,-0.9133162,6.740036,-3.268037,0.2247615,-0.1554478,-0.1167894,0.9548185,-0.6157933,0.3593451,1.91564,2.34624,-1.397045,1.07397
5,27.87496,1,0.6394646,1.037947,5.953455,-4.957986,0.2987828,0.1528428,-0.02961567,0.9415364,1.221254,-0.4387468,0.1649254,-0.03432265,-4.17802,-0.2228759
7,33.82995,1,0.795314,0.1192215,6.6775,-3.314595,0.2650419,-0.07816532,-0.1629848,0.9471425,-0.300166,0.4876736,2.089763,2.161434,0.7705624,1.655429
8,38.11995,1,0.7986391,-1.285696,6.360143,-4.564529,0.2876638,-0.141044,-0.2023293,0.925429,0.7544491,0.06811303,1.890664,4.264177,-4.529245,3.038481
8,40.42494,1,0.9721841,0.6566765,6.404835,-3.100731,0.2666234,0.07478774,-0.08639548,0.9570029,0.3602647,0.3145906,1.702728,1.88243,-2.19746,0.7963216
8,42.00994,1,0.9988842,1.890788,6.302913,-2.766482,0.38135,0.227668,0.1241791,0.88731,0.7630231,0.353761,1.979988,5.111063,-4.657106,1.478611
11,48.11493,1,0.8013813,0.97662,6.106432,-4.675702,0.2988439,0.22063,-0.1835865,0.9101158,1.311744,-0.285671,0.1258593,0.3265683,-4.035444,2.841363
12,49.21993,1,0.7315848,-1.964788,6.618039,-3.426509,0.3063307,-0.1953079,-0.1837377,0.9133765,-0.3534514,0.3821934,2.046627,3.544873,-1.173782,4.252996
13,52.09993,1,0.9071432,-0.4200129,6.363066,-2.702289,0.2262206,0.09419119,-0.2939404,0.9238783,1.611304,0.1491921,3.003923,6.037,-6.656945,6.513539
13,54.04492,1,0.8425078,1.575097,6.424879,-2.420336,0.3409024,0.2408751,-0.1968529,0.8871378,0.3142799,0.7470111,1.644904,-0.8178825,-0.02533319,4.659631
13,54.09992,1,0.826654,1.715042,7.276338,-1.887512,0.09486359,0.3116531,-0.05551503,0.9438174,0.2109119,1.126612,1.395284,7.74002,-1.169895,-3.585943
13,57.22492,1,0.4249017,-1.831506,6.565583,-1.992011,0.2543861,0.005648248,-0.195314,0.947158,0.5029109,0.1308201,2.465439,2.603634,-7.244475,5.333351
13,57.54992,1,0.1649217,-0.9571897,6.139376,-3.478265,0.308929,-0.06702705,-0.1437071,0.9377731,0.2770451,-0.2447474,-0.9663928,-1.176593,0.6252714,-0.3821034
13,58.69492,1,0.6325486,-1.538403,6.976454,-1.679111,0.1953215,0.04789168,-0.2898691,0.9356986,0.4780931,0.5052902,2.705268,4.634953,-5.277951,6.489011
16,67.19491,1,0.3761117,-0.8643169,6.406927,-4.195032,0.2807609,-0.02534913,-0.2983786,0.9118667,0.4678282,0.06744803,2.240527,4.936718,-2.989493,5.270008
16,68.68491,1,0.6279541,-2.35915,6.255063,-3.889819,0.3284494,-0.1850343,-0.2978367,0.8770272,-0.406021,0.09694456,1.220798,2.752015,-0.6213994,1.469878
16,70.5799,1,0.5392538,-2.509529,6.437891,-2.790947,0.2613758,-0.1423437,-0.2790957,0.9129767,-0.2787642,0.1011152,1.903306,4.199927,-2.650755,4.154352
16,70.5949,1,0.9958172,-2.3799,6.470877,-2.512433,0.2272265,-0.08600013,-0.3052986,0.9207415,0.04914899,0.07971284,2.112755,5.11923,-3.451873,4.24472
17,72.28989,1,0.4211882,1.474034,6.023787,-4.09141,0.3202188,0.3086177,-0.07566715,0.8924626,1.282712,-0.615495,-0.6530585,-1.560099,-4.131046,0.1404316
17,72.3049,1,0.3460326,1.602872,5.955233,-4.212345,0.3284006,0.3213701,-0.09635052,0.8829443,1.239166,-0.5649289,-0.7580636,-1.699775,-3.322928,0.9858019
17,72.3299,1,0.6856503,1.680329,5.906095,-4.33954,0.3339816,0.3321549,-0.1000093,0.8764288,1.06788,-0.5125254,-0.8480338,-1.481826,-2.830574,0.903422
18,76.3299,1,0.6579561,-1.733928,5.862746,-4.350816,0.4109772,-0.1787723,-0.08631654,0.8897682,-2.003598,0.4521505,0.3333505,-0.3017526,5.172712,-2.163734
18,77.03989,1,0.1276381,-0.1810149,5.962968,-3.470327,0.3800698,0.03363256,-0.2014813,0.9021202,0.2314342,0.234962,1.453371,1.792276,-0.2898089,0.8369528
